firma,orcid,eid,doi,match,fecha_consulta
Mansilla-Obando K.,0000-0003-4273-4259,2-s2.0-85181896730,10.3390/foods13010004,apellido+inicial,2026-08-27
Llanos G.,0000-0002-2516-3549,2-s2.0-85181896730,10.3390/foods13010004,apellido+inicial,2026-08-27
Gómez-Sotta E.,0009-0009-6090-0848,2-s2.0-85181896730,10.3390/foods13010004,apellido+inicial,2026-08-27
Llanos G.,0000-0002-2516-3549,2-s2.0-85181960019,10.3390/su152115482,apellido+inicial,2026-08-27
Mansilla-Obando K.,0000-0003-4273-4259,2-s2.0-85181960019,10.3390/su152115482,apellido+inicial,2026-08-27
Gómez-Sotta E.,0009-0009-6090-0848,2-s2.0-85181960019,10.3390/su152115482,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85182507728,10.1016/j.lwt.2023.115674,apellido+inicial,2026-08-27
Zambrano C.,0000-0002-9538-1816,2-s2.0-85182945360,10.15381/lengsoc.v22i2.23855,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85183352428,10.3390/foods13020265,apellido+inicial,2026-08-27
Rojas-Costa G.M.,0000-0002-6228-2678,2-s2.0-85183428139,10.1038/s41531-024-00644-y,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85183446128,10.1111/jcpe.13949,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85183684713,10.3389/fendo.2023.1293780,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85183684713,10.3389/fendo.2023.1293780,apellido+inicial,2026-08-27
Puyol F.,0000-0002-2161-5894,2-s2.0-85183952194,10.5354/0719-0527.2023.73369,apellido+inicial,2026-08-27
Valenzuela R.,0009-0007-8023-3400,2-s2.0-85183967700,10.1016/j.rmclc.2023.12.002,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-85184054027,10.1016/j.heliyon.2024.e25348,apellido+inicial,2026-08-27
Muzard A.,0000-0002-3803-1983,2-s2.0-85184440738,10.2196/56319,apellido+inicial,2026-08-27
Ceron M.L.,0000-0001-8662-8189,2-s2.0-85185484888,10.1039/d3ra08935e,apellido+inicial,2026-08-27
Hartmann Schatloff D.,0000-0002-7140-4294,2-s2.0-85186067484,10.1016/j.piel.2023.10.022,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85186625457,10.1111/cid.13314,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85186751610,10.1123/ijspp.2023-0516,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85187300239,10.1055/a-1560-5129,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85188146191,10.5114/biolsport.2024.133661,apellido+inicial,2026-08-27
Morales J.-P.,0000-0002-7304-5256,2-s2.0-85188674768,10.1016/j.ssaho.2024.100883,apellido+inicial,2026-08-27
Van Sint Jan N.,0009-0009-2540-9228,2-s2.0-85189157391,10.1177/08850666241243306,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85189175737,10.3390/plants13060755,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85189967168,10.1016/j.jsams.2024.03.005,apellido+inicial,2026-08-27
Strauss F.-J.,0000-0002-5832-7327,2-s2.0-85190432889,10.1111/jerd.13235,apellido+inicial,2026-08-27
Arenas-Massa Á.,0000-0003-3188-0189,2-s2.0-85190964630,10.58807/indexenferm20236355,apellido+inicial,2026-08-27
Carvajal C.,0000-0002-1712-7396,2-s2.0-85191040175,10.1007/s12028-024-01986-4,apellido+inicial,2026-08-27
Tapia-Curimil G.,0000-0002-0587-1855,2-s2.0-85191194456,10.14814/phy2.16020,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-85191194456,10.14814/phy2.16020,apellido+inicial,2026-08-27
Zbinden-Foncea H.,0000-0002-9643-1037,2-s2.0-85191194456,10.14814/phy2.16020,apellido+inicial,2026-08-27
Hidalgo-Rosa Y.,0000-0002-1391-435X,2-s2.0-85191660176,10.1016/j.jece.2024.112911,apellido+inicial,2026-08-27
Hidalgo-Rosa Y.,0000-0002-1391-435X,2-s2.0-85192014123,10.1016/j.jconrel.2024.04.035,apellido+inicial,2026-08-27
Hidalgo-Rosa Y.,0000-0002-1391-435X,2-s2.0-85192205328,10.1016/j.cplett.2024.141288,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-85192374380,10.3934/publichealth.2024029,apellido+inicial,2026-08-27
Hartmann Schatloff D.,0000-0002-7140-4294,2-s2.0-85192535624,10.1016/j.piel.2024.01.017,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85193712105,10.1123/ijspp.2023-0451,apellido+inicial,2026-08-27
Tuñón-Suárez M.,0000-0002-3085-9057,2-s2.0-85193826870,10.1016/j.mam.2024.101277,apellido+inicial,2026-08-27
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85194565971,10.1002/1873-3468.14937,apellido+inicial,2026-08-27
Etchegaray-Armijo K.,0000-0002-8536-3729,2-s2.0-85194863143,10.4067/s0717-75182024000200111,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85195264160,10.1111/clr.14309,apellido+inicial,2026-08-27
Rojas-Saffie J.P.,0000-0001-5269-0865,2-s2.0-85195831343,10.3389/fpsyg.2024.1419202,apellido+inicial,2026-08-27
García-Matte N.,0000-0001-8712-0408,2-s2.0-85195831343,10.3389/fpsyg.2024.1419202,apellido+inicial,2026-08-27
Rojas-Saffie J.P.,0000-0001-5269-0865,2-s2.0-85195847219,10.1016/j.newideapsych.2024.101096,apellido+inicial,2026-08-27
García-Matte N.,0000-0001-8712-0408,2-s2.0-85195847219,10.1016/j.newideapsych.2024.101096,apellido+inicial,2026-08-27
Von Moltke R.,0009-0004-5647-312X,2-s2.0-85196095290,10.3389/fped.2024.1386310,apellido+inicial,2026-08-27
Carriel-Nesvara A.,0009-0002-0205-4478,2-s2.0-85196771662,10.1113/JP285955,apellido+inicial,2026-08-27
Marchese-Bittencourt M.,0009-0007-5833-5355,2-s2.0-85196771662,10.1113/JP285955,apellido+inicial,2026-08-27
Zbinden-Foncea H.,0000-0002-9643-1037,2-s2.0-85196771662,10.1113/JP285955,apellido+inicial,2026-08-27
Morales J.-P.,0000-0002-7304-5256,2-s2.0-85196854825,10.3389/fpsyg.2024.1244701,apellido+inicial,2026-08-27
Yanine F.F.,0000-0003-1086-0840,2-s2.0-85196976775,10.1016/j.egyr.2024.06.030,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85197415065,10.1007/s42979-024-03044-4,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85197494682,10.1111/clr.14325,apellido+inicial,2026-08-27
Benites M.H.,0000-0001-6366-534X,2-s2.0-85197805968,10.1186/s13054-024-05010-1,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85197877445,10.3390/antiox13060623,apellido+inicial,2026-08-27
Marín G.J.,0000-0003-2961-6469,2-s2.0-85198050650,10.1002/cne.25657,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-85198416544,10.3390/nu16132141,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85198416544,10.3390/nu16132141,apellido+inicial,2026-08-27
Strauss F.-J.,0000-0002-5832-7327,2-s2.0-85198527349,10.1002/JPER.24-0125,apellido+inicial,2026-08-27
Díaz-Castro F.,0000-0003-1644-8742,2-s2.0-85198729088,10.1111/apha.14203,apellido+inicial,2026-08-27
Tuñón-Suárez M.,0000-0002-3085-9057,2-s2.0-85198729088,10.1111/apha.14203,apellido+inicial,2026-08-27
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85198729088,10.1111/apha.14203,apellido+inicial,2026-08-27
Castro-Sepúlveda M.,0000-0002-2270-299X,2-s2.0-85198729088,10.1111/apha.14203,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85199151490,10.1002/cre2.939,apellido+inicial,2026-08-27
Santibáñez D.,0000-0001-7840-9138,2-s2.0-85200249531,10.1080/09500693.2024.2381841,apellido+inicial,2026-08-27
Hartmann Schatloff D.,0000-0002-7140-4294,2-s2.0-85200534575,10.1016/j.abd.2023.12.007,apellido+inicial,2026-08-27
Fortuny E.,0000-0002-0864-5669,2-s2.0-85200898926,10.36311/jhgd.v34.15499,apellido+inicial,2026-08-27
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85201146042,10.1016/j.freeradbiomed.2024.07.035,apellido+inicial,2026-08-27
Silva A.K.,0000-0002-4992-7072,2-s2.0-85201423875,10.1002/jso.27829,apellido+inicial,2026-08-27
Ruiz-Riquelme P.,0000-0002-3293-8189,2-s2.0-85201500956,10.1016/j.rmclc.2024.05.012,apellido+inicial,2026-08-27
Strauss F.J.,0000-0002-5832-7327,2-s2.0-85201715298,10.1016/j.jdent.2024.105306,apellido+inicial,2026-08-27
Henriquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85202564711,10.1210/endocr/bqae102,apellido+inicial,2026-08-27
Prado-Medel C.,0000-0001-5115-2133,2-s2.0-85202579214,10.1007/978-981-97-1814-6_69,apellido+inicial,2026-08-27
Montero V.,0000-0003-4368-2868,2-s2.0-85202591558,10.1386/vcr_00084_1,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85202905959,10.1146/annurev-nutr-062122-031443,apellido+inicial,2026-08-27
Diaz-Pizarro M.,0009-0008-1626-6707,2-s2.0-85203352103,10.1007/s11695-024-07451-7,apellido+inicial,2026-08-27
Allende-Valenzuela T.,0009-0009-2334-0562,2-s2.0-85203525781,10.32348/1852.4206.v16.n3.40113,apellido+inicial,2026-08-27
Chavez-Reyes A.,0000-0002-6655-815X,2-s2.0-85203665259,10.3390/cancers16172940,apellido+inicial,2026-08-27
Horna Campos O.,0000-0001-8124-467X,2-s2.0-85204486796,10.4067/s0034-98872024000200253,apellido+inicial,2026-08-27
Lagos M.,0000-0002-6114-0782,2-s2.0-85205228998,10.1016/j.physb.2024.416570,apellido+inicial,2026-08-27
Cottin M.,0000-0002-9460-7190,2-s2.0-85205794317,10.1371/journal.pone.0311352,apellido+inicial,2026-08-27
Núnez-Lisboa M.,0000-0003-0051-9833,2-s2.0-85206031070,10.1242/jeb.249307,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85206076775,10.3389/fphys.2024.1474479,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-85206123441,10.1186/s12889-024-20173-w,apellido+inicial,2026-08-27
Morales-Guevara R.,0000-0002-1147-619X,2-s2.0-85206501956,10.3390/molecules29194726,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85206696642,10.1123/ijspp.2024-0043,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85207330751,10.3390/app14209556,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85207515798,10.3390/nu16203540,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85207746491,10.1007/s00421-024-05536-w,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85207837235,10.1109/CLEI64178.2024.10700354,apellido+inicial,2026-08-27
Henríquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85208163795,10.1126/sciadv.adq4461,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85208235194,10.1007/978-3-031-75147-9_16,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-85208575143,10.3390/ijms252111492,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85208575143,10.3390/ijms252111492,apellido+inicial,2026-08-27
Williams C.,0000-0003-3440-5711,2-s2.0-85208582406,10.1016/j.rmclc.2024.02.004,apellido+inicial,2026-08-27
Rojas-Costa G.M.,0000-0002-6228-2678,2-s2.0-85209077922,10.1002/ana.27089,apellido+inicial,2026-08-27
Henriquez-Olguín C.,0000-0002-9315-9365,2-s2.0-85209230270,10.1038/s41467-024-54183-4,apellido+inicial,2026-08-27
Hayes-Ortiz T.,0009-0006-8457-5435,2-s2.0-85209377957,10.1038/s41598-024-79092-w,apellido+inicial,2026-08-27
Vargas-Foitzick R.,0000-0003-4466-1276,2-s2.0-85209377957,10.1038/s41598-024-79092-w,apellido+inicial,2026-08-27
Nazer M.I.,0009-0008-7016-8200,2-s2.0-85209407253,10.1016/j.jisako.2024.100340,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-85209768147,10.1111/apa.17513,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85210247504,10.1007/978-3-031-76607-7_10,apellido+inicial,2026-08-27
Rego T.,0000-0003-2271-4568,2-s2.0-85211207629,10.7764/onomazein.65.04,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85211638159,10.1038/s42255-024-01147-z,apellido+inicial,2026-08-27
Moena Benítez M.F.,0009-0008-3840-068X,2-s2.0-85212276677,10.31637/epsir-2024-1066,apellido+inicial,2026-08-27
Crisóstomo Flores P.,0000-0002-9761-2112,2-s2.0-85212276677,10.31637/epsir-2024-1066,apellido+inicial,2026-08-27
Muzard A.,0000-0002-3803-1983,2-s2.0-85213032194,10.1002/imhj.22154,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85213252656,10.3390/antiox13121523,apellido+inicial,2026-08-27
Giglio Jimenez A.,0000-0002-0533-4531,2-s2.0-85214307945,10.1136/bcr-2024-263287,apellido+inicial,2026-08-27
Ayares G.,0000-0002-8651-2255,2-s2.0-85214533457,10.1097/HC9.0000000000000622,apellido+inicial,2026-08-27
Morales-Guevara R.,0000-0002-1147-619X,2-s2.0-85214904344,10.1002/qua.70005,apellido+inicial,2026-08-27
Martínez-Cárdenas B.,0000-0001-6460-8953,2-s2.0-85214993472,10.5354/0719-2584.2024.70418,apellido+inicial,2026-08-27
Giglio Jimenez A.,0000-0002-0533-4531,2-s2.0-85215072903,10.1136/bcr-2024-263124,apellido+inicial,2026-08-27
Allende-Valenzuela T.,0009-0009-2334-0562,2-s2.0-85215378071,10.5209/rlog.95051,apellido+inicial,2026-08-27
Marín G.J.,0000-0003-2961-6469,2-s2.0-85215558958,10.1152/jn.00128.2024,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85215782826,10.3390/pr13010020,apellido+inicial,2026-08-27
Yanine F.,0000-0003-1086-0840,2-s2.0-85215782826,10.3390/pr13010020,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-85215782826,10.3390/pr13010020,apellido+inicial,2026-08-27
Etchegaray-Armijo K.,0000-0002-8536-3729,2-s2.0-85215792761,10.3390/nu17020327,apellido+inicial,2026-08-27
López-Arana S.,0000-0002-4312-1318,2-s2.0-85215792761,10.3390/nu17020327,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-85215813917,10.1096/fj.202402064R,apellido+inicial,2026-08-27
Castro-Sepúlveda M.,0000-0002-2270-299X,2-s2.0-85215954210,10.3390/antiox14010084,apellido+inicial,2026-08-27
Rojas-Saffie J.P.,0000-0001-5269-0865,2-s2.0-85216695257,10.3389/fpsyg.2024.1454900,apellido+inicial,2026-08-27
Puyol F.,0000-0002-2161-5894,2-s2.0-85216733698,10.1080/09620214.2025.2461718,apellido+inicial,2026-08-27
Caffarena-Barcenilla C.,0000-0001-9550-3695,2-s2.0-85216784465,10.17227/rce.num95-18798,apellido+inicial,2026-08-27
Puyol F.,0000-0002-2161-5894,2-s2.0-85217219280,10.7764/PEL.61.3.2024.4,apellido+inicial,2026-08-27
Giglio Jiménez A.,0000-0002-0533-4531,2-s2.0-85217262308,10.1007/s00134-025-07787-3,apellido+inicial,2026-08-27
Saenz A.,0009-0006-7721-6012,2-s2.0-85217580314,10.1093/icvts/ivaf004,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-85218051245,10.1145/3702163.3702414,apellido+inicial,2026-08-27
Rufin-Larraín A.,0009-0006-7284-7026,2-s2.0-85219052166,10.47197/retos.v65.110490,apellido+inicial,2026-08-27
Santibáñez D.,0000-0001-7840-9138,2-s2.0-85219507393,10.29333/ejmste/15953,apellido+inicial,2026-08-27
Benites M.H.,0000-0001-6366-534X,2-s2.0-85219634773,10.1186/s13054-025-05313-x,apellido+inicial,2026-08-27
García-Meneses C.,0009-0006-4302-5007,2-s2.0-86000458181,10.47197/retos.v66.111857,apellido+inicial,2026-08-27
Aedo S.,0000-0001-5567-3374,2-s2.0-86000546568,10.3390/ijms26052366,apellido+inicial,2026-08-27
