indice,seccion,anio,titulo,primer_autor,autor_correspondencia,autor_uft,doi,en_universo_scopus,eid_scopus,anio_scopus
#102,Escuela de Medicina,2025,"La paradoja del plástico en la salud: herramienta vital, contaminante letal","Olive Castillo, Fernanda","Olive Castillo, Fernanda","Olive Castillo, Fernanda*** Giglio, Andrés* ,Ferre, Andrés** ,Sanhueza , María B.**",10.32457/scr.v5i1.2836,False,,
#103,Escuela de Medicina,2025,Analysis of household-like waste discarded by health institutions in Chile: A descriptive study,"Olive, Fernanda","Giglio, Andrés","Olive, Fernanda; *** Sanhueza, M. Bernardita**Giglio, Andres*; Ferre, Andres**,",10.1016/j.joclim.2025.100437,True,2-s2.0-105002338312,2025.0
#104,Escuela de Medicina,2025,Anatomical variants of the vertebral artery and their relationship with craniocervical disorders and surgical considerations: a systematic review and meta-analysis,"Valenzuela-Fuenzalida, Juan José","Valenzuela-Fuenzalida, Juan José","Orellana-Donoso, Mathias",10.1007/s12565-025-00855-0,False,,
#105,Escuela de Medicina,2025,Comparison of the Mediterranean Diet and Other Therapeutic Strategies in Metabolic Syndrome: A Systematic Review and Meta-Analysis,"Bruna-Mejias, Alejandro","Valenzuela-Fuenzalida, Juan José","Orellana-Donoso, Mathias",10.3390/ijms26125887,True,2-s2.0-105009012247,2025.0
#106,Escuela de Medicina,2025,The Adverse Effects and Use of Bevacizumab in Patients with Glioblastoma: A Systematic Review and Meta-Analysis,"Bruna-Mejias, Alejandro","Valenzuela-Fuenzalida, Juan José","Orellana-Donoso, Mathias",10.3390/ph18060795,True,2-s2.0-105009026860,2025.0
#107,Escuela de Medicina,2025,The Gastric Vein Variants: An Evidence-Based Systematic Review of Prevalence and Clinical Considerations,"Bruna-Mejias, Alejandro","Valenzuela-Fuenzalida, Juan José","Orellana-Donoso, Mathias",10.3390/jcm14113630,True,2-s2.0-105007922570,2025.0
#108,Escuela de Medicina,2025,"Internal carotid artery agenesis: a systematic review of prevalence, basal brain circulation variations, and associated pathologies","Orellana-Donoso, Mathias","Orellana-Donoso, Mathias","Orellana-Donoso, Mathias",10.1007/s12565-025-00873-y,False,,
#109,Escuela de Medicina,2025,A Systematic Review and Meta-Analysis on the Prevalence of Variants in the Pancreaticobiliary Duct Junction and Its Association with Cancer,"Valenzuela-Fuenzalida, Juan José","Bastidas-Caldes, Carlos","Orellana-Donoso, Mathias",10.3390/biomedicines13051039,True,2-s2.0-105006772737,2025.0
#110,Escuela de Medicina,2025,Anatomical Variants in Pancreatic Irrigation and Their Clinical Considerations for the Pancreatic Approach and Surrounding Structures: A Systematic Review with Meta-Analysis,"Valenzuela-Fuenzalida, Juan José","Sanchis-Gimeno, Juan","Orellana-Donoso, Mathias",10.3390/medicina61040666,True,2-s2.0-105003554304,2025.0
#111,Escuela de Medicina,2025,Clinical Characteristics of Neuropathic Pain and Its Relationship with Cancer in Different Corporal Areas—A Systematic Review,"Danés-López, Fernanda","Gutiérrez-Espinoza, Héctor","Orellana-Donoso, Mathias",10.3390/diagnostics15010116,True,2-s2.0-85214481964,2025.0
#112,Escuela de Medicina,2025,A systematic review with a meta-analysis of the morphological variants of the corpus callosum: Related neurocognitive clinical implications.,"Valenzuela-Fuenzalida, Juan José","Konschake, Marko","Orellana-Donoso, Mathias",10.1016/j.wneu.2025.124317,True,2-s2.0-105013783691,2025.0
#113,Escuela de Medicina,2025,Publisher Correction: A systematic review and meta-analysis: prevalence and clinical implications of anatomical variants of the hepatic portal vein (NO ES UN ARTÍCULO NUEVO),"Valenzuela-Fuenzalida, Juan José","Gutiérrez-Espinoza, Héctor","Orellana-Donoso, Mathias",10.1038/s41598-025-86692-7,False,,
#114,Escuela de Medicina,2025,When Ethics Meet Socrates in Critical Care (Letter to the Editor),"Pedreros, Cesar","Giglio, Andrés","Pedreros, Cesar **; Saenz, Angel*, Ferre, Andres**, Giglio, Andres*",10.1097/ccm.0000000000006634,True,2-s2.0-105007292368,2025.0
#115,Escuela de Medicina,2025,Hipofosfatemia en UCI. No todo es síndrome de realimentación. [Hypophosphatemia in ICU. It’s not all refeeding syndrome],"Gómez Lund, Oscar","Gómez Lund, Oscar","Reyes, Marco* Díaz, Franco**",10.32641/andespediatr.v96i2.5607,True,2-s2.0-105007196459,2025.0
#116,Escuela de Medicina,2025,Bosworth fracture dislocation: report of two cases with different results,"Cáceres, Andrés","Cid, Nicolás","Rojas, Juan Pablo; de Vos**, Víctor, Cid , Nicola***; Verschae, Gregorio***",10.1016/j.rmclc.2025.01.001,True,2-s2.0-85217907150,2025.0
#117,Escuela de Medicina,2025,Women with polycystic ovary syndrome (PCOS): Likelihood of cooccurring neuropsychiatric conditions and the dual hit hypothesis,"Del Río, Juan Pablo","Crisosto, Nicolás","Rojas-Costa, Gonzalo M.",10.1016/j.yfrne.2025.101188,True,2-s2.0-105001275073,2025.0
#118,Escuela de Medicina,2025,Manchester oxford foot questionnaire in foot and ankle Spanish patients: Transcultural adaption and validation,A. Gines-Cespedosa,"Ruiz-Riquelme, Pablo","Ruiz-Riquelme, Pablo",10.1016/j.fas.2025.04.006,True,2-s2.0-105003281114,2025.0
#119,Escuela de Medicina,2025,Hyperacute silicosis after bronchoscopy-induced melanoptysis in a lung transplant patient. A first report in literature,"Saenz, Angel","Giglio, Andrés","Saenz, Angel Dreyse, Jorge Giglio, Andrés",10.1093/icvts/ivaf004,True,2-s2.0-85217580314,2025.0
#120,Escuela de Medicina,2025,Severe obesity and menopause symptoms are associated with cognitive impairment in postmenopausal women from Latin America,Juan Enrique Blumel,Juan Enrique Blumel,Sócrates Aedo,10.1080/13697137.2025.2491637,True,2-s2.0-105003482174,2025.0
#121,Escuela de Medicina,2025,Risk of sarcopenia: A red flag for cognitive decline in postmenopause?,María S. Vallejo,Juan E. Blümel,Sócrates Aedo,10.1016/j.maturitas.2025.108193,True,2-s2.0-85215067709,2025.0
#122,Escuela de Medicina,2025,Renal and ureteral temperatures changes during ureteroscopic pulsed thulium: YAG laser lithotripsy: an in vitro analysis,"Urrea, Felipe","Salvadó, José Antonio","Urrea, Felipe Villena, José M Larrañaga, Matias",10.5173/ceju.2024.0177,True,2-s2.0-105002076440,2025.0
#123,Escuela de Medicina,2025,Drug-induced hypersensitivity syndrome associated with minocycline prescribed for acne treatment. Case report,"Valenzuela, Rodolfo","Valenzuela, Rodolfo","Valenzuela, Rodolfo Garcia, Katerine Cerda, Eduardo Ferre, Andrés",10.1016/j.rmclc.2025.03.003,True,2-s2.0-105003597806,2025.0
#124,Escuela de Medicina,2025,Infiltración vaginal para el alivio del dolor neuropático post histeropexia sacroespinosa: primer reporte exitoso a mediano plazo,"Vallejos Peñaloza, Gabriel","Velasco Galaza, María Trinidad","Velasco Galaza, María Trinidad Castillo Villarroel, Natalia Quiñones San Martin, Paula Andrea Carstens Landreau, Catalina Barria Candell, Marcelo",10.5867/medwave.2025.01.2958,True,2-s2.0-85216316930,2025.0
#125,Escuela de Medicina,2025,Vaginal infiltration for relief of neuropathic pain after sacrospinous hysteropexy: First successful mid-term report,"Vallejos Peñaloza, Gabriel","Velasco Galaza, María Trinidad","Velasco Galaza, María Trinidad Castillo Villarroela, Natalia Quiñones San Martina, Paula Andrea Carstens Landreaua, Catalina Barria Candell, Marcelo",10.5867/medwave.2025.01.2958,True,2-s2.0-85216316930,2025.0
#126,Escuela de Medicina,2025,Cuando el fenómeno de Raynaud se acompaña de las temidas úlceras digitales: reporte de dos casos. [When Raynaud&#x27;s phenomenon is accompanied by dreaded digital ulcers: two case reports],"Vergara, Karen","Vergara, Karen","Vergara, Karen",10.1016/j.rmclc.2025.03.002,True,2-s2.0-105003555837,2025.0
#127,Escuela de Medicina,2025,Jugando con la balanza: el desafío de las patologías con tratamientos opuestos. [Balancing the scales: the challenge of pathologies with opposing treatments],"Vergara, Karen","Giglio, Andrés","Vergara, Karen Giglio, Andrés",10.1016/j.rmclc.2025.03.001,True,2-s2.0-105003541829,2025.0
#128,Escuela de Medicina,2025,Revisión de artrodesis subtalar por no unión: a propósito de un caso. [Subtalar joint revision arthrodesis due to non-union: a case report],"Verschae, Gregorio","Val, Valentín","Verschae, Gregorio Val, Valentín Alba, Vicente Pavez, Sebastián Cid, Nicolás",10.35687/s2452-454920250032541,True,2-s2.0-105006493357,2025.0
#129,Escuela de Medicina,2025,Leiomioma anal: reporte de un caso. [Anal leiomyoma: a case report],"Zárate, Alejandro","Zárate, Alejandro","Zárate, Alejandro*; Triat, María Trinidad**",10.1016/j.rmclc.2025.02.001,True,2-s2.0-85217892204,2025.0
#130,Escuela de Medicina,2025,The Role of Cellular Senescence in Endothelial Dysfunction and Vascular Remodeling in Arteriovenous Fistulas maturation,Ignacia González and Rodrigo Maldonado,,Ignacia González** and Rodrigo Maldonado*,10.1113/jp287387,False,,
#131,Escuela de Medicina,2025,Transcriptional activation of genes associated with the matrisome is a common feature of senescent endothelial cells,"Ignacia González, Sebastián B. Arredondo and Rodrigo Maldonado",,"Ignacia González, Sebastián B. Arredondo*** and Rodrigo Maldonado",10.1007/s10522-025-10191-5,True,2-s2.0-85218453368,2025.0
#132,Escuela de Medicina,2025,Connexin hemichannels and early atrophic signaling in muscle during sepsis,"Balboa E, Saavedra F, Cea LA, Vargas AA, Regueira T, Sáez JC.",,Balboa Elisa,10.3389/fphys.2025.1514769,True,2-s2.0-105000057258,2025.0
#133,Escuela de Medicina,2025,Seasonal transcriptome profile across three different tissues of the Andean Killifish Orestias ascotanensis.,"Maldonado-Agurto R, Acevedo E, Maracaja-Coutinho V, Montecino M.",,"Maldonado-Agurto R,",10.1038/s41597-025-05345-6,True,2-s2.0-105007903192,2025.0
#134,Escuela de Medicina,2025,c-Abl/TFEB Pathway Activation as a Common Pathogenic Mechanism in Lysosomal Storage Diseases: Therapeutic Potential of c-Abl Inhibitors,"Guerra MV, Castro J, Moreno A, Balboa E, Marugan JJ, Alvarez AR, Zanlungo S.",,Balboa E,10.3390/antiox14050611,True,2-s2.0-105006560342,2025.0
#135,Escuela de Medicina,2025,Enhancing the Affinity of a Novel Selective scFv for Soluble ST2 through Computational Design.,"Matthies DJ, Novoa-Gundel P, Vásquez G, Dubois-Camacho K, De la Fuente López M, Donoso B, Toledo-Stuardo K, Gutiérrez-González M, Landskron G, Valdebenito-Silva S, Sánchez O, Fierro A, Teimoori S, Chaicumpa W, Eugenin E, Zapata-Torres G, Molina MC, Hermoso MA.",,"De la Fuente López, Marjorie Landskron, Glauben",10.1021/acs.jcim.4c02027,True,2-s2.0-105005943336,2025.0
#136,Escuela de Medicina,2025,Butyrate suppresses mucosal inflammation in IBD primarily through HDAC3 inhibition in monocytes and macrophages,"Parada-Venegas, Daniela; De la Fuente López , Marjorie; Dubois-Camacho , Karen; Landskron, Glauben ; Blokzijl, Tjasso; Molina, Héctor; Casanova, María-Celeste; Cui, Yingying; Liu, Moting; Da Costa De Pina , Antonio; Simian, Daniela; González, María-Julieta; Weersma, Rinse; Quera, Rodrigo; Dijkstra, Gerard; Nico Faber, Klaas ; Hermoso, Marcela.",,"De la Fuente López , Marjorie",,False,,
#001,Escuela de Medicina,2024,An Overview of Extracorporeal Membrane Oxygenation,,,,10.37549/ar2945,True,2-s2.0-85184209523,2024.0
#002,Escuela de Medicina,2024,Exploring the lutein therapeutic potential in steatotic liver disease: mechanistic insights and future directions,,,,10.3389/fphar.2024.1406784,True,2-s2.0-85197695723,2024.0
#003,Escuela de Medicina,2024,Renal cell carcinoma in a patient with crossed and fused renal ectopy: A case report,,,,10.1016/j.eucr.2024.102749,True,2-s2.0-85191944493,2024.0
#004,Escuela de Medicina,2024,Physiological and clinical effects of trunk inclination adjustment in patients with respiratory failure: a scoping review and narrative synthesis,,,,10.1186/s13054-024-05010-1,True,2-s2.0-85197805968,2024.0
#005,Escuela de Medicina,2024,Use of the pectoralis minor and coracoacromial ligament for a biplanar coracoclavicular and acromioclavicular reconstruction: A cadaveric feasibility study,,,,10.1002/jeo2.70032,True,2-s2.0-85206253906,2024.0
#006,Escuela de Medicina,2024,"Epidemiological and microbiological characteristics of S. aureus pediatric infections in Colombia 2018-2021, a national multicenter study (Staphylored Colombia)",,,,10.3389/fped.2024.1386310,True,2-s2.0-85196095290,2024.0
#007,Escuela de Medicina,2024,Results of prophylactic simple fasciocutaneous advancement in the initial management of acute ankle fractures with high risk of operative wound complication,,,,10.1016/j.fas.2023.09.002,True,2-s2.0-85171831612,2024.0
#008,Escuela de Medicina,2024,[Epidemiology of the COVID-19 pandemic in chilean children and cdolescents] Epidemiología de la pandemia por COVID-19 en niños y adolescentes chilenos,,,,10.4067/s0034-98872024000200253,True,2-s2.0-85204486796,2024.0
#009,Escuela de Medicina,2024,Sex Differences in Profile and In-Hospital Death for Acute Stroke in Chile: Data From a Nationwide Hospital Registry,,,,10.1161/jaha.123.035152,True,2-s2.0-85200827817,2024.0
#010,Escuela de Medicina,2024,Therapeutic Antisense Oligonucleotides in Oncology: From Bench to Bedside.,,,,10.3390/cancers16172940,True,2-s2.0-85203665259,2024.0
#011,Escuela de Medicina,2024,"Potencial antidiabético de extractos de Cylindropuntia imbricata (Haw.) F. M. Knuth, Opuntia engelmannii Salm-Dyck ex Engelm., Ibervillea sonorae (S. Wats.) Greene y Theobroma cacao L.",,,,10.22201/fesz.23958723e.2024.663,False,,
#012,Escuela de Medicina,2024,"Liver X receptor unlinks intestinal regeneration and tumorigenesis Das, Srustidhar",,,,10.1038/s41586-024-08247-6,True,2-s2.0-85209738764,2025.0
#013,Escuela de Medicina,2024,Pannexin-1 expression in tumor cells correlates with colon cancer progression and survival,,,,10.1016/j.lfs.2024.122851,True,2-s2.0-85196542544,2024.0
#014,Escuela de Medicina,2024,Noninvasive Continuous Positive Airway Pressure Is a Lung- and Diaphragm-protective Approach in Self-inflicted Lung Injury,,,,10.1164/rccm.202309-1629le,True,2-s2.0-85190753267,2024.0
#015,Escuela de Medicina,2024,Respiratory System Compliance Accurately Assesses the “Baby Lung” in Pediatric Acute Respiratory Distress Syndrome,,,,10.1164/rccm.202310-1890le,True,2-s2.0-85189760150,2024.0
#016,Escuela de Medicina,2024,Reply to Pérez. Patient self-inflicted and ventilator-induced lung injury: two sides of the same coin?,,,,10.1164/rccm.202303-0364le,True,2-s2.0-85159734220,2023.0
#017,Escuela de Medicina,2024,Morphological Differences between Patient Self-inflicted and Ventilator-induced Lung Injury: An Experimental Study,,,,10.1164/rccm.202207-1360le,True,2-s2.0-85150396941,2023.0
#018,Escuela de Medicina,2024,Letter: Development of a Randomized Trial Comparing ICP-Monitor-Based Management of Severe Pediatric Traumatic Brain Injury to Management Based on Imaging and Clinical Examination Without ICP Monitoring-Study Protocol,,,,10.1227/neu.0000000000002915,True,2-s2.0-85190753457,2024.0
#019,Escuela de Medicina,2024,Prevalence of Bacterial Codetection and Outcomes for Infants Intubated for Respiratory Infections,,,,10.1097/pcc.0000000000003500,True,2-s2.0-85197570653,2024.0
#020,Escuela de Medicina,2024,Ventilatory load reduction by combined mild hypothermia and ultraprotective mechanical ventilation strategy in severe COVID-19-related acute respiratory distress syndrome: A physiological study,,,,10.4103/tjem.tjem_339_22,True,2-s2.0-85189660184,2024.0
#021,Escuela de Medicina,2024,Critical Asthma in Infancy and Toddlers: How Can We Mechanically Discriminate From Critical Bronchiolitis?,,,,10.1002/ppul.27386,True,2-s2.0-85208177034,2025.0
#022,Escuela de Medicina,2024,"Aprendizajes sobre la vulneración a la infancia durante la pandemia COVID-19: enfermedad, evidencia y políticas públicas",,,,10.32641/andespediatr.v95i6.5236,True,2-s2.0-85212306111,2024.0
#023,Escuela de Medicina,2024,Risk factors and outcomes of pediatric non-invasive respiratory support failure in Latin America,,,,10.1016/j.jointm.2024.09.001,True,2-s2.0-105001330915,2025.0
#024,Escuela de Medicina,2024,"Aprendizaje sobre la vulneración a la infancia durante la pandemia COVID-19: enfermedad, evidencia y políticas públicas",,,,10.32641/andespediatr.v95i6.5236,True,2-s2.0-85212306111,2024.0
#025,Escuela de Medicina,2024,Plateau Pressure and Driving Pressure in Volume- and Pressure-Controlled Ventilation: Comparison of Frictional and Viscoelastic Resistive Components in Pediatric Acute Respiratory Distress Syndrome,,,,10.1097/pcc.0000000000003291,True,2-s2.0-85169848260,2023.0
#026,Escuela de Medicina,2024,"Rate of severe exacerbations, healthcare resource utilisation and clinical outcomes in patients with COPD in low-income and middle-income countries: results from the EXACOS International Study Abensur Athanazio",,,,10.1136/bmjresp-2023-002101,True,2-s2.0-85191103643,2024.0
#027,Escuela de Medicina,2024,COPD management in the modern era,,,,10.1016/j.rmclc.2024.05.002,True,2-s2.0-85201517464,2024.0
#028,Escuela de Medicina,2024,Perception of medical students regarding a hybrid Orthopedics course post COVID-19 pandemic. Cross-sectional study in Chile,,,,10.1016/j.rmclc.2024.05.012,True,2-s2.0-85201500956,2024.0
#029,Escuela de Medicina,2024,In situ simulation in the intensive care unit: A phenomenological study of staff experiences,,,,10.1177/02676591241272058,True,2-s2.0-85200962404,2025.0
#030,Escuela de Medicina,2024,Analysis of Vancomycin Dosage and Plasma Levels in Critically Ill Adult Patients Requiring Extracorporeal Membrane Oxygenation (ECMO),,,,10.1177/08850666241243306,True,2-s2.0-85189157391,2024.0
#031,Escuela de Medicina,2024,Factors associated with prolonged mechanical ventilation in children with pulmonary failure: Cohort study from the LARed Network registry [Factores asociados a ventilación mecánica prolongada en niños con fallo respiratorio de causa pulmonar: Estudio de cohortes del registro de LARed Network],,,,10.1016/j.medine.2023.07.001,False,,
#032,Escuela de Medicina,2024,Induction treatment for lupus nephritis at a high-complexity hospital in Chile,,,,10.1177/09612033241249574,True,2-s2.0-85191303984,2024.0
#033,Escuela de Medicina,2024,Adult Code Sepsis: A Narrative Review of its Implementation and Impact,,,,10.1177/08850666241293034,False,,
#034,Escuela de Medicina,2024,Very old patients in the ICU in Latin America: A narrative review,,,,10.1016/j.regg.2024.101560,True,2-s2.0-85205816233,2025.0
#035,Escuela de Medicina,2024,Probable coinfection of andes hantavirus and legionella in a critically ill patient: First description of a case in the literature and literature review,,,,10.1016/j.rmclc.2023.09.009,True,2-s2.0-85178463650,2023.0
#036,Escuela de Medicina,2024,Adapting NeuroVanguard to real-worldchallenges,,,,10.1186/s13054-024-04916-0,True,2-s2.0-85191097483,2024.0
#037,Escuela de Medicina,2024,Adapting NeuroVanguard to real-world challenges,,,,10.1186/s13054-024-04916-0,True,2-s2.0-85191097483,2024.0
#038,Escuela de Medicina,2024,Severe osmotic demyelination syndrome with cortical involvement in the context of severe hyponatremia and central diabetes insipidus: an uncommon presentation of an unusual combination,,,,10.1136/bcr-2023-257210,True,2-s2.0-85181776321,2024.0
#039,Escuela de Medicina,2024,Coma Prevalence in Critical Care Units in Chile: Results of a Cross-Sectional Survey on World Coma Day,,,,10.1007/s12028-024-01986-4,True,2-s2.0-85191040175,2024.0
#040,Escuela de Medicina,2024,"An update in ovaric cystic pediculated detached: an unusual clinical presentation Petracca, Giovanni",,,,10.23736/s0394-9508.23.05593-6,True,2-s2.0-85203074360,2024.0
#041,Escuela de Medicina,2024,"Tension-free hernioplasty of inguinal hernia under local anesthesia: our experience Petracca, Giovanni",,,,10.23736/s0393-3660.23.05152-5,True,2-s2.0-85194896543,2024.0
#042,Escuela de Medicina,2024,"The role of radiotherapy and surgery in carcinoma spinocellular an up to date of diagnosis, initial management, and treatment: a narrative review and a case study report",,,,10.23736/s0394-9508.23.05548-1,True,2-s2.0-85189972501,2024.0
#043,Escuela de Medicina,2024,The forgotten history of Alzheimer’s: remembering Oskar Fischer [La historia olvidada del alzhéimer: recordando a Oskar Fischer],,,,10.4067/s0717-922720240001000682,True,2-s2.0-85200145776,2024.0
#044,Escuela de Medicina,2024,Correction to: Obesity and brain structure in schizophrenia – ENIGMA study in 3021 individuals,,,,10.1038/s41380-022-01616-5,False,,
#045,Escuela de Medicina,2024,The role of excimer light in dermatology: a review,,,,10.1016/j.abd.2023.12.007,True,2-s2.0-85200534575,2024.0
#046,Escuela de Medicina,2024,Vitamin D and cutaneous pathologies [Vitamina D y enfermedades de la piel],,,,10.1016/j.piel.2023.07.002,True,2-s2.0-85174710743,2024.0
#047,Escuela de Medicina,2024,Severe middle childhood acne treated with isotretinoin,,,,10.1016/j.piel.2024.04.006,True,2-s2.0-85203202321,2025.0
#048,Escuela de Medicina,2024,Cutaneous manifestations to the use of cetuximab [Manifestaciones cutáneas asociadas al uso de cetuximab],,,,10.1016/j.piel.2024.01.017,True,2-s2.0-85192535624,2024.0
#049,Escuela de Medicina,2024,Sunproofing from within: A deep dive into oral photoprotection strategies in dermatology,,,,10.1111/phpp.12985,True,2-s2.0-85195414523,2024.0
#050,Escuela de Medicina,2024,Malformación glomuvenosa: serie de casos [Glomuvenous malformation: Case reports],,,,10.1016/j.piel.2023.10.022,True,2-s2.0-85186067484,2024.0
#051,Escuela de Medicina,2024,First imported case report in chile of cutaneous leishmaniasis caused by leishmania infantum,,,,10.4067/s0716-10182024000400139,True,2-s2.0-85211508534,2024.0
#052,Escuela de Medicina,2024,The introduction of microvascular free tissue transfer in primary burn reconstruction. Experience report of the national burn center in Chile,,,,10.1016/j.burnso.2024.03.005,True,2-s2.0-85191878500,2024.0
#053,Escuela de Medicina,2024,[Obstructive Sleep Apnea and Nocturnal Hypoxemia Increase the Cardiovascular Risk in Chilean] La apnea obstructiva del sueño y la hipoxemia nocturna aumentan el riesgo cardiovascular basal en población chilena,,,,10.4067/s0034-98872024000400424,True,2-s2.0-85207350071,2024.0
#054,Escuela de Medicina,2024,Is the time below 90% of SpO2 during sleep (T90%) a metric of good health? A longitudinal analysis of two cohorts,,,,10.1007/s11325-023-02909-x,True,2-s2.0-85169302917,2024.0
#055,Escuela de Medicina,2024,Efficacy of hemoadsorptive therapy combined with high-volume hemofiltration in the management of refractory septic shock [Eficacia de la terapia hemoadsortiva combinada con hemofiltración de alto volumen en el manejo del shock séptico refractario],,,,10.1016/j.rmclc.2023.10.003,True,2-s2.0-85183990068,2024.0
#056,Escuela de Medicina,2024,"High Frequency of Mesenteric Panniculitis in Non-Hodgkin Lymphoma and Prostate Cancer: Study in 1,500 Oncologic Patients Undergoing Staging",,,,10.4067/s0034-98872023001101483,True,2-s2.0-85204167825,2023.0
#057,Escuela de Medicina,2024,Intragastric administration of short chain fatty acids greatly reduces voluntary ethanol intake in rats.,,,,10.1038/s41598-024-80228-1,True,2-s2.0-85210151018,2024.0
#058,Escuela de Medicina,2024,Tratamiento de sobrecrecimiento bacteriano en el intestino delgado en pacientes chilenos con síndrome de intestino irritable: un estudio prospectivo y comparativo,,,,10.1016/j.rgmx.2024.08.004,True,2-s2.0-105001077196,2025.0
#059,Escuela de Medicina,2024,"Corrigendum: The role of cholesterol and mitochondrial bioenergetics in activation of the inflammasome in IBD (Front. Immunol.,",,,,10.3389/fimmu.2022.1028953,False,,
#060,Escuela de Medicina,2024,Early Development of the Thalamo-Pallial Stage of the Tectofugal Visual Pathway in the Chicken (Gallus gallus),,,,10.1002/cne.25657,True,2-s2.0-85198050650,2024.0
#061,Escuela de Medicina,2024,"Reply to letter to the editor regarding «Wound drain in lumbar arthrodesis for degenerative disease: an experimental, multicenter, randomized controlled trial",,,,10.1016/j.spinee.2023.09.031,True,2-s2.0-85182999283,2024.0
#062,Escuela de Medicina,2024,Analysis of Predictors for Spinal Fusion in Degenerative Lumbar Stenosis in Chile Based on Diagnosis-Related Groups,,,,10.29011/2577-2252.100150,False,,
#063,Escuela de Medicina,2024,RECOSAN Tumors Study: Analysis of Patients with Spine Surgery due to Oncologic Pathology,,,,10.26502/jsr.10020336,False,,
#064,Escuela de Medicina,2024,Navigating the Indeterminate Zone: Surgeons’ Decision-Making Factors in Treating Vertebral Metastases with Spinal Instability Scores of 7-12,,,,10.1016/j.wneu.2024.03.084,True,2-s2.0-85191345659,2024.0
#065,Escuela de Medicina,2024,Orthopedic postoperative infection profile and antibiotic sensitivity of 2038 patients across 24 countries – Call for region and institution specific surgical antimicrobial prophylaxis,,,,10.1016/j.jor.2024.04.018,True,2-s2.0-85190731738,2024.0
#066,Escuela de Medicina,2024,RECOSAN Tumors Study: Analysis of Patients with Spine Surgery due to Oncologic Pathology,,,,10.26502/jsr.10020336,False,,
#067,Escuela de Medicina,2024,Navigating the Indeterminate Zone: Surgeons’ Decision-Making Factors in Treating Vertebral Metastases with Spinal Instability Scores of 7–12,,,,10.1016/j.wneu.2024.03.084,True,2-s2.0-85191345659,2024.0
#068,Escuela de Medicina,2024,Functional results and feasibility of a teleprehabilitation program in patients who are candidates for elective colorectal cancer surgery during the COVID-19 pandemic,,,,10.1111/ajco.13939,True,2-s2.0-85147288447,2024.0
#069,Escuela de Medicina,2024,[What we know today about solitary rectal ulcer syndrome] Lo que sabemos hoy de síndrome úlcera rectal solitaria,,,,10.4067/s0034-98872024000200225,True,2-s2.0-85204724653,2024.0
#070,Escuela de Medicina,2024,Biomarkers of minimal residual disease and treatment,,,,10.1016/bs.acc.2024.02.002,True,2-s2.0-85186210719,2024.0
#071,Escuela de Medicina,2024,The role of matrix metalloproteinase-2 in the metastatic cascade: a review,,,,10.1515/oncologie-2023-0368,True,2-s2.0-85183026431,2024.0
#072,Escuela de Medicina,2024,Current liver failure support systems: Biding time for transplantation [Soportes actuales en falla hepática: cuando el trasplante se hace esperar],,,,10.1016/j.rmclc.2023.12.002,True,2-s2.0-85183967700,2024.0
#073,Escuela de Medicina,2024,Cemented versus cementless unicompartmental knee arthroplasty,,,,10.1016/j.jisako.2024.100340,True,2-s2.0-85209407253,2024.0
#074,Escuela de Medicina,2024,Anatomical Variants of the Origin of the Coronary Arteries: A Systematic Review and Meta-Analysis of Prevalence,,,,10.3390/diagnostics14131458,True,2-s2.0-85198397605,2024.0
#075,Escuela de Medicina,2024,Effectiveness of DASH Diet versus Other Diet Modalities in Patients with Metabolic Syndrome: A Systematic Review and Meta-Analysis,,,,10.3390/nu16183054,True,2-s2.0-85205078698,2024.0
#076,Escuela de Medicina,2024,Use of Ketamine in Patients with Multifactorial Neuropathic Pain: A Systematic Review and Meta-Analysis,,,,10.3390/ph17091165,True,2-s2.0-85205081067,2024.0
#077,Escuela de Medicina,2024,Partial agenesis of the pectoralis major and minor muscle: A cadaveric case report,,,,10.1097/md.0000000000039444,True,2-s2.0-85204418067,2024.0
#078,Escuela de Medicina,2024,Association between types of abdominopelvic cancer in patients with situs inversus total: Systematic review,,,,10.1097/md.0000000000037093,True,2-s2.0-85185865636,2024.0
#079,Escuela de Medicina,2024,Systematic review and meta-analysis of right subclavian artery variants and their correlation with cervical-thoracic clinical conditions,,,,10.1097/md.0000000000036856,True,2-s2.0-85185860056,2024.0
#080,Escuela de Medicina,2024,A systematic review and meta-analysis: prevalence and clinical implications of anatomical variants of the hepatic portal vein,,,,10.1038/s41598-024-81543-3,True,2-s2.0-85211148658,2024.0
#081,Escuela de Medicina,2024,Clinical implications of aberrant anatomy of the common hepatic duct in liver surgery: a systematic review and meta-analysis,,,,10.1007/s00276-024-03494-8,True,2-s2.0-85205318422,2024.0
#082,Escuela de Medicina,2024,Hepatic Hilum Variations and Their Clinical Considerations in the Liver: A Systematic Review and Meta-Analysis,,,,10.3390/life14101301,True,2-s2.0-85207676879,2024.0
#083,Escuela de Medicina,2024,Infraorbital canal variants and its clinical and surgical implications. A systematic review,,,,10.1007/s00276-024-03348-3,True,2-s2.0-85191716936,2024.0
#084,Escuela de Medicina,2024,Effectiveness of Duloxetine versus Other Therapeutic Modalities in Patients with Diabetic Neuropathic Pain: A Systematic Review and Meta-Analysis,,,,10.3390/ph17070856,True,2-s2.0-85199872756,2024.0
#085,Escuela de Medicina,2024,Morphological Characteristics of the Double Mental Foramen and Its Relevance in Clinical Practice: An Observational Study,,,,10.3390/diagnostics14121277,True,2-s2.0-85197110778,2024.0
